year	n_journals	n_articles
1960	1925	111955
1961	2440	119933
1962	2105	125486
1963	2130	141272
1964	2201	161848
1965	2746	176492
1966	2612	179353
1967	2665	190952
1968	2788	207355
1969	2890	214724
1970	3026	218640
1971	3029	222177
1972	3044	226915
1973	3220	230099
1974	3446	234152
1975	3539	246975
1976	3770	249649
1977	4061	247712
1978	4191	256119
1979	4277	263433
1980	4353	265433
1981	4368	269312
1982	4298	280901
1983	4334	292601
1984	4423	300695
1985	4585	316723
1986	4540	328727
1987	4749	344009
1988	4791	359630
1989	4792	374371
1990	4773	378631
1991	4717	375212
1992	4746	377664
1993	4769	384583
1994	4787	395851
1995	4791	404601
1996	4837	415148
1997	4725	359120
1998	3648	394537
1999	4318	413104
2000	4087	455837
2001	5018	485848
2002	5372	547409
2003	5094	555842
2004	5231	574332
2005	5405	630685
2006	5883	648606
2007	6266	684223
2008	7197	727087
2009	7079	594352
2010	7982	773985
2011	8260	827440
2012	8511	868345
2013	8769	916814
2014	8988	978559
2015	9045	995707
